"","id","uid","label","os","emoji_id","unicode","emoji"
"94",94,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",102,"1f388","🎈"
"95",95,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",73,"1f498","💘"
"96",96,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",30,"1f389","🎉"
"97",97,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","sad","MacIntel",90,"1f630","😰"
"98",98,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","afraid","MacIntel",47,"1f64a","🙊"
"99",99,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","afraid","MacIntel",47,"1f64a","🙊"
"100",100,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",71,"a9","©"
"101",101,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",126,"1f33f","🌿"
"102",102,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","disgusted","MacIntel",18,"1f60f","😏"
"103",103,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",51,"1f60c","😌"
"104",104,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",138,"266a","♪"
"105",105,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",48,"1f634","😴"
"106",106,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",46,"1f60b","😋"
"107",107,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",147,"1f47b","👻"
"108",108,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",61,"1f61d","😝"
"109",109,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",77,"270b","✋"
"110",110,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",41,"2600","☀"
"111",111,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",160,"1f33a","🌺"
"112",112,"1dB9UDYR8OwohGh4oKfwNp3ieHUs2e14","disgusted","iPhone",64,"1f62b","😫"
"113",113,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","angry","MacIntel",133,"2716","✖"
"114",114,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","afraid","Win32",61,"1f61d","😝"
"115",115,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","angry","MacIntel",107,"270a","✊"
"116",116,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",100,"2606","☆"
"117",117,"1dB9UDYR8OwohGh4oKfwNp3ieHUs2e14","na","iPhone",40,"2588","█"
"118",118,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",79,"1f355","🍕"
"119",119,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","neutral","Win32",173,"1f607","😇"
"120",120,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",172,"1f349","🍉"
"121",121,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",38,"1f497","💗"
"122",122,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",182,"1f3b8","🎸"
"123",123,"1dB9UDYR8OwohGh4oKfwNp3ieHUs2e14","happy","iPhone",102,"1f388","🎈"
"124",124,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",111,"1f493","💓"
"125",125,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",38,"1f497","💗"
"126",126,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",191,"1f48d","💍"
"127",127,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",135,"1f619","😙"
"128",128,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",133,"2716","✖"
"129",129,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",43,"1f60e","😎"
"130",130,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",95,"1f449","👉"
"131",131,"1dB9UDYR8OwohGh4oKfwNp3ieHUs2e14","na","iPhone",195,"2591","░"
"132",132,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",141,"1f52a","🔪"
"133",133,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","neutral","Win32",51,"1f60c","😌"
"134",134,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",179,"1f37a","🍺"
"135",135,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",34,"1f49c","💜"
"136",136,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",35,"1f499","💙"
"137",137,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",138,"266a","♪"
"138",138,"1dB9UDYR8OwohGh4oKfwNp3ieHUs2e14","happy","iPhone",132,"1f3c6","🏆"
"139",139,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",161,"1f485","💅"
"140",140,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","surprised","Win32",37,"1f633","😳"
"141",141,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","sad","Win32",198,"2601","☁"
"142",142,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",120,"1f3b5","🎵"
"143",143,"1dB9UDYR8OwohGh4oKfwNp3ieHUs2e14","happy","iPhone",60,"1f606","😆"
"144",144,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","angry","Win32",116,"26a1","⚡"
"145",145,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",163,"1f31a","🌚"
"146",146,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",187,"1f337","🌷"
"147",147,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",45,"1f48b","💋"
"148",148,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",34,"1f49c","💜"
