"","unicode","emoji","afraid","angry","disgusted","happy","na","neutral","sad","surprised"
"133","2716","✖",NA,NA,NA,NA,NA,30,NA,NA
"134","261d","☝",NA,NA,NA,NA,NA,44,NA,NA
"135","1f619","😙",NA,NA,NA,39,NA,NA,NA,NA
"136","26c4","⛄",NA,NA,NA,33,NA,28,NA,NA
"137","1f445","👅",NA,NA,NA,35,NA,23,NA,NA
"138","266a","♪",NA,NA,NA,33,NA,34,NA,NA
"139","1f342","🍂",NA,NA,NA,NA,NA,50,NA,NA
"140","1f48f","💏",NA,NA,NA,45,NA,NA,NA,NA
"141","1f52a","🔪",NA,31,NA,NA,NA,30,NA,NA
"142","1f334","🌴",NA,NA,NA,26,NA,38,NA,NA
"143","1f448","👈",NA,NA,NA,NA,NA,62,NA,NA
"144","1f339","🌹",NA,NA,NA,33,NA,32,NA,NA
"145","1f646","🙆",NA,NA,NA,49,NA,NA,NA,NA
"146","279c","➜",NA,NA,NA,NA,NA,59,NA,NA
"147","1f47b","👻",NA,NA,NA,30,NA,18,NA,NA
"148","1f4b0","💰",NA,NA,NA,27,NA,34,NA,NA
"149","1f37b","🍻",NA,NA,NA,44,NA,26,NA,NA
"150","1f645","🙅",NA,NA,16,NA,NA,30,NA,NA
"151","1f31e","🌞",NA,NA,NA,42,NA,24,NA,NA
"152","1f341","🍁",NA,NA,NA,NA,NA,56,NA,NA
"153","2b50","⭐",NA,NA,NA,24,NA,42,NA,NA
"154","25aa","▪",NA,NA,NA,NA,NA,50,NA,NA
"155","1f380","🎀",NA,NA,NA,19,NA,35,NA,NA
"156","2501","━",NA,NA,NA,NA,NA,47,NA,NA
"157","2637","☷",NA,NA,NA,NA,NA,51,NA,NA
"158","1f437","🐷",NA,NA,NA,NA,NA,38,NA,NA
"159","1f649","🙉",NA,NA,NA,28,NA,20,NA,NA
"160","1f33a","🌺",NA,NA,NA,30,NA,31,NA,NA
"161","1f485","💅",NA,NA,NA,NA,NA,49,NA,NA
"162","1f436","🐶",NA,NA,NA,32,NA,28,NA,NA
"163","1f31a","🌚",NA,NA,NA,31,NA,27,NA,NA
"164","1f47d","👽",NA,NA,NA,26,NA,33,NA,NA
"165","1f3a4","🎤",NA,NA,NA,NA,NA,49,NA,NA
"166","1f46d","👭",NA,NA,NA,30,16,26,NA,NA
"167","1f3a7","🎧",NA,NA,NA,23,NA,41,NA,NA
"168","1f446","👆",NA,NA,NA,NA,NA,48,NA,NA
"169","1f378","🍸",NA,NA,NA,25,NA,42,NA,NA
"170","1f377","🍷",NA,NA,NA,22,NA,41,NA,NA
"171","ae","®",NA,NA,NA,NA,NA,62,NA,NA
"172","1f349","🍉",NA,NA,NA,22,NA,41,NA,NA
"173","1f607","😇",NA,NA,NA,49,NA,NA,NA,NA
"174","2611","☑",NA,NA,NA,NA,NA,37,NA,NA
"175","1f3c3","🏃",NA,NA,NA,NA,NA,40,NA,NA
"176","1f63f","😿",NA,NA,NA,NA,NA,NA,74,NA
"177","2502","│",NA,NA,NA,NA,NA,52,NA,NA
"178","1f4a3","💣",NA,22,NA,NA,NA,28,NA,NA
"179","1f37a","🍺",NA,NA,NA,32,NA,31,NA,NA
"180","25b6","▶",NA,NA,NA,NA,NA,63,NA,NA
"181","1f632","😲",NA,NA,NA,NA,NA,NA,NA,44
"182","1f3b8","🎸",NA,NA,NA,NA,NA,49,NA,NA
"183","1f379","🍹",NA,NA,NA,30,NA,26,NA,NA
"184","1f4ab","💫",NA,NA,NA,20,NA,30,NA,NA
"185","1f4da","📚",NA,NA,NA,NA,NA,45,NA,NA
"186","1f636","😶",NA,NA,NA,NA,NA,46,NA,NA
"187","1f337","🌷",NA,NA,NA,28,NA,39,NA,NA
"188","1f49d","💝",NA,NA,NA,45,NA,NA,NA,NA
"189","1f4a8","💨",NA,NA,NA,NA,NA,43,NA,NA
"190","1f3c8","🏈",NA,NA,NA,NA,NA,45,NA,NA
"191","1f48d","💍",NA,NA,NA,34,NA,29,NA,NA
"192","2614","☔",NA,NA,NA,NA,NA,34,26,NA
"193","1f478","👸",NA,NA,NA,34,NA,35,NA,NA
"194","1f1ea","🇪",NA,NA,NA,NA,NA,57,NA,NA
"195","2591","░",NA,NA,NA,NA,NA,47,NA,NA
"196","1f369","🍩",NA,NA,NA,29,NA,42,NA,NA
"197","1f47e","👾",NA,NA,NA,NA,NA,36,NA,NA
"198","2601","☁",NA,NA,NA,NA,NA,43,NA,NA
"199","1f33b","🌻",NA,NA,NA,26,NA,40,NA,NA
"200","1f635","😵",NA,NA,NA,NA,NA,NA,NA,39
"201","1f4d2","📒",NA,NA,NA,NA,NA,55,NA,NA
"202","21bf","↿",NA,NA,NA,NA,NA,56,NA,NA
